,name,g,ab,h,ba,bb,2b,2b.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,3b,3b.pg,r,r.pg,through
1,Temple,18,688,257,0.374,53,18,49,2.72,15,0.83,15,5,20,0.83,12,12,363,0.528,6,0.33,180,10,3/20/11
2,James Madison,20,714,251,0.352,110,20,50,2.5,39,1.95,59,10,69,2.95,15,13,442,0.619,12,0.6,220,11,3/20/11
3,Arizona,21,746,262,0.351,63,21,44,2.1,12,0.57,37,13,50,1.76,15,13,364,0.488,11,0.52,166,7.9,3/20/11
4,Georgia Tech,21,735,247,0.336,91,21,50,2.38,11,0.52,24,7,31,1.14,6,10,346,0.471,8,0.38,155,7.4,3/20/11
5,Memphis,17,578,194,0.336,78,17,46,2.71,10,0.59,24,10,34,1.41,12,10,282,0.488,6,0.35,121,7.1,3/20/11
6,Michigan St.,17,585,196,0.335,59,17,36,2.12,7,0.41,33,13,46,1.94,7,20,263,0.45,5,0.29,97,5.7,3/20/11
7,Tennessee,20,664,222,0.334,78,20,44,2.2,17,0.85,49,10,59,2.45,9,16,327,0.492,5,0.25,153,7.7,3/20/11
8,Gardner-Webb,18,647,216,0.334,103,18,40,2.22,9,0.5,35,9,44,1.94,9,8,287,0.444,2,0.11,167,9.3,3/20/11
9,Western Ky.,19,674,225,0.334,102,19,46,2.42,11,0.58,25,7,32,1.32,13,13,316,0.469,6,0.32,145,7.6,3/20/11
10,Oklahoma,22,749,250,0.334,82,22,50,2.27,20,0.91,28,13,41,1.27,6,17,376,0.502,8,0.36,175,8,3/20/11
11,Clemson,17,582,194,0.333,98,17,36,2.12,10,0.59,25,6,31,1.47,17,10,272,0.467,6,0.35,139,8.2,3/20/11
12,Arizona St.,19,658,219,0.333,76,19,47,2.47,9,0.47,41,17,58,2.16,13,8,307,0.467,7,0.37,126,6.6,3/20/11
13,New Mexico St.,20,696,230,0.33,135,20,52,2.6,17,0.85,14,4,18,0.7,17,6,343,0.493,5,0.25,204,10.2,3/20/11
14,Purdue,19,692,228,0.329,73,19,47,2.47,14,0.74,33,13,46,1.74,12,14,333,0.481,8,0.42,154,8.1,3/20/11
15,Texas Tech,21,701,228,0.325,106,21,47,2.24,9,0.43,42,9,51,2,17,17,312,0.445,5,0.24,150,7.1,3/20/11
16,Xavier,20,713,231,0.324,72,20,39,1.95,9,0.45,40,13,53,2,10,22,307,0.431,5,0.25,148,7.4,3/20/11
17,Pittsburgh,17,584,188,0.322,70,17,30,1.76,10,0.59,27,13,40,1.59,6,15,270,0.462,11,0.65,128,7.5,3/20/11
18,Buffalo,18,563,181,0.321,77,18,42,2.33,23,1.28,18,3,21,1,10,11,298,0.529,3,0.17,132,7.3,3/20/11
19,UCF,20,700,225,0.321,89,20,57,2.85,15,0.75,40,8,48,2,16,8,339,0.484,6,0.3,164,8.2,3/20/11
20,Jacksonville,20,689,221,0.321,94,20,35,1.75,17,0.85,34,7,41,1.7,15,10,321,0.466,7,0.35,165,8.3,3/20/11
21,Houston,21,742,236,0.318,83,21,46,2.19,9,0.43,26,10,36,1.24,6,21,341,0.46,16,0.76,151,7.2,3/20/11
22,West Virginia,21,687,218,0.317,60,21,41,1.95,17,0.81,12,5,17,0.57,11,41,316,0.46,3,0.14,138,6.6,3/20/11
23,Southern U.,18,591,187,0.316,88,18,28,1.56,11,0.61,23,7,30,1.28,17,9,266,0.45,9,0.5,160,8.9,3/20/11
24,Vanderbilt,21,671,212,0.316,91,21,38,1.81,6,0.29,34,10,44,1.62,7,26,278,0.414,5,0.24,128,6.1,3/20/11
25,Georgia St.,22,723,228,0.315,139,22,49,2.23,15,0.68,45,13,58,2.05,15,25,328,0.454,3,0.14,169,7.7,3/20/11
26,Florida,20,677,213,0.315,72,20,45,2.25,13,0.65,21,11,32,1.05,5,13,311,0.459,7,0.35,123,6.2,3/20/11
27,LSU,20,671,211,0.314,79,20,44,2.2,14,0.7,43,10,53,2.15,13,24,307,0.458,5,0.25,170,8.5,3/20/11
28,Oklahoma St.,19,657,206,0.314,59,19,57,3,5,0.26,15,6,21,0.79,13,5,298,0.454,10,0.53,112,5.9,3/20/11
29,Dartmouth,9,334,104,0.311,28,9,20,2.22,2,0.22,4,3,7,0.44,1,4,138,0.413,4,0.44,68,7.6,3/20/11
30,UC Irvine,16,530,165,0.311,79,16,35,2.19,4,0.25,18,5,23,1.13,11,14,230,0.434,9,0.56,127,7.9,3/20/11
31,Missouri St.,20,742,231,0.311,91,20,38,1.9,9,0.45,28,11,39,1.4,10,3,308,0.415,6,0.3,124,6.2,3/20/11
32,UNC Wilmington,20,710,221,0.311,62,20,44,2.2,12,0.6,39,7,46,1.95,13,17,307,0.432,3,0.15,138,6.9,3/20/11
33,Auburn,20,698,217,0.311,85,20,52,2.6,12,0.6,16,14,30,0.8,7,17,309,0.443,2,0.1,129,6.5,3/20/11
34,Stony Brook,15,528,164,0.311,47,15,37,2.47,4,0.27,20,6,26,1.33,10,9,223,0.422,5,0.33,93,6.2,3/20/11
35,Longwood,23,754,234,0.31,74,23,40,1.74,16,0.7,27,4,31,1.17,15,18,326,0.432,2,0.09,163,7.1,3/20/11
36,Mercer,23,822,255,0.31,118,23,54,2.35,35,1.52,28,7,35,1.22,8,12,420,0.511,3,0.13,201,8.7,3/20/11
37,Ga. Southern,21,750,232,0.309,86,21,43,2.05,16,0.76,24,8,32,1.14,9,17,331,0.441,4,0.19,159,7.6,3/20/11
38,North Carolina,21,729,225,0.309,123,21,45,2.14,14,0.67,29,6,35,1.38,13,7,332,0.455,10,0.48,168,8,3/20/11
39,A&M-Corpus Christi,23,772,238,0.308,108,23,40,1.74,12,0.52,30,12,42,1.3,11,8,332,0.43,9,0.39,162,7,3/20/11
40,Marist,17,616,189,0.307,94,17,31,1.82,14,0.82,17,6,23,1,5,13,266,0.432,2,0.12,145,8.5,3/20/11
41,Texas St.,19,645,197,0.305,99,19,30,1.58,20,1.05,33,7,40,1.74,6,16,291,0.451,2,0.11,153,8.1,3/20/11
42,Texas-Arlington,20,702,213,0.303,53,20,45,2.25,4,0.2,15,7,22,0.75,13,16,274,0.39,2,0.1,104,5.2,3/20/11
43,Washington St.,15,498,151,0.303,50,15,22,1.47,10,0.67,17,10,27,1.13,8,8,211,0.424,4,0.27,92,6.1,3/20/11
44,Charlotte,20,637,193,0.303,107,20,29,1.45,3,0.15,40,8,48,2,12,21,253,0.397,11,0.55,145,7.3,3/20/11
45,Ohio St.,13,446,135,0.303,50,13,24,1.85,5,0.38,8,6,14,0.62,4,11,178,0.399,2,0.15,77,5.9,3/20/11
46,UNLV,23,793,240,0.303,99,23,38,1.65,24,1.04,39,16,55,1.7,11,5,364,0.459,7,0.3,175,7.6,3/20/11
47,Kentucky,20,651,197,0.303,79,20,46,2.3,15,0.75,38,9,47,1.9,6,28,294,0.452,3,0.15,120,6,3/20/11
48,Florida St.,20,694,210,0.303,126,20,51,2.55,18,0.9,26,9,35,1.3,10,8,323,0.465,4,0.2,161,8.1,3/20/11
49,Baylor,20,710,214,0.301,94,20,32,1.6,6,0.3,42,7,49,2.1,10,14,282,0.397,9,0.45,136,6.8,3/20/11
50,East Tenn. St.,16,548,165,0.301,63,16,33,2.06,24,1.5,12,3,15,0.75,5,15,276,0.504,3,0.19,108,6.8,3/20/11
51,North Florida,20,731,220,0.301,69,20,38,1.9,19,0.95,16,7,23,0.8,11,9,323,0.442,4,0.2,137,6.9,3/20/11
52,Cincinnati,16,513,154,0.3,77,16,32,2,7,0.44,27,7,34,1.69,7,5,209,0.407,1,0.06,98,6.1,3/20/11
53,Arkansas,19,640,192,0.3,74,19,42,2.21,12,0.63,37,5,42,1.95,12,21,282,0.441,6,0.32,143,7.5,3/20/11
54,Virginia,21,720,216,0.3,80,21,47,2.24,6,0.29,31,19,50,1.48,11,20,289,0.401,4,0.19,154,7.3,3/20/11
55,California,18,627,188,0.3,71,18,45,2.5,10,0.56,19,10,29,1.06,5,23,271,0.432,4,0.22,118,6.6,3/20/11
56,Duke,22,734,220,0.3,97,22,47,2.14,4,0.18,39,13,52,1.77,16,11,301,0.41,11,0.5,147,6.7,3/20/11
57,Murray St.,19,612,183,0.299,78,19,36,1.89,5,0.26,12,7,19,0.63,5,18,242,0.395,4,0.21,118,6.2,3/20/11
58,Southern Miss.,18,629,188,0.299,75,18,31,1.72,17,0.94,14,5,19,0.78,9,24,284,0.452,7,0.39,132,7.3,3/20/11
59,Sam Houston St.,20,683,204,0.299,79,20,40,2,9,0.45,41,18,59,2.05,13,12,287,0.42,8,0.4,121,6.1,3/20/11
60,Jacksonville St.,19,650,194,0.298,76,19,29,1.53,10,0.53,32,6,38,1.68,12,9,261,0.402,4,0.21,112,5.9,3/20/11
61,Southeastern La.,20,691,206,0.298,82,20,44,2.2,16,0.8,32,16,48,1.6,4,17,308,0.446,5,0.25,137,6.9,3/20/11
62,CSU Bakersfield,21,719,214,0.298,63,21,41,1.95,8,0.38,19,5,24,0.9,16,7,291,0.405,6,0.29,132,6.3,3/20/11
63,High Point,22,726,216,0.298,75,22,40,1.82,8,0.36,15,11,26,0.68,6,23,284,0.391,2,0.09,145,6.6,3/20/11
64,Lamar,23,787,234,0.297,119,23,52,2.26,6,0.26,26,11,37,1.13,10,18,308,0.391,2,0.09,150,6.5,3/20/11
65,Fla. Atlantic,21,703,209,0.297,83,21,45,2.14,16,0.76,19,11,30,0.9,11,11,308,0.438,3,0.14,143,6.8,3/20/11
66,Saint Louis,18,643,191,0.297,104,18,28,1.56,3,0.17,30,7,37,1.67,8,9,232,0.361,2,0.11,127,7.1,3/20/11
67,Nebraska,21,731,217,0.297,67,21,47,2.24,14,0.67,24,13,37,1.14,11,20,320,0.438,7,0.33,138,6.6,3/20/11
68,La.-Monroe,18,604,179,0.296,88,18,41,2.28,9,0.5,21,6,27,1.17,9,16,251,0.416,2,0.11,120,6.7,3/20/11
69,Mt. St. Mary's,15,513,152,0.296,61,15,22,1.47,1,0.07,24,18,42,1.6,7,7,187,0.365,5,0.33,87,5.8,3/20/11
