name,year,bat,g,ab,h,ba,bb,dbl,dbl.pg,pg,hr,hr.pg,sb,cs,sba,sb.pg,sf,sh,tb,slg.pct,trp,trp.pg,r,r.pg,through
Georgia St.,2010,besr,19,710,269,0.379,116,19,63,3.32,34,1.79,25,10,35,1.32,21,12,450,0.634,8,0.42,252,13.3,3/21/10
Pittsburgh,2010,besr,18,721,272,0.377,72,18,72,4,10,0.56,37,7,44,2.06,8,9,382,0.53,4,0.22,191,10.6,3/21/10
VMI,2010,besr,20,729,271,0.372,70,20,57,2.85,39,1.95,42,14,56,2.1,6,16,451,0.619,3,0.15,200,10,3/21/10
Arizona,2010,besr,20,740,274,0.37,87,20,50,2.5,11,0.55,50,11,61,2.5,12,18,385,0.52,14,0.7,196,9.8,3/21/10
High Point,2010,besr,19,688,251,0.365,77,19,53,2.79,18,0.95,53,10,63,2.79,9,9,376,0.547,9,0.47,189,9.9,3/21/10
UCLA,2010,besr,16,575,209,0.363,68,16,35,2.19,22,1.38,26,10,36,1.63,8,10,318,0.553,4,0.25,153,9.6,3/21/10
Arizona St.,2010,besr,20,676,245,0.362,116,20,59,2.95,17,0.85,48,15,63,2.4,13,11,397,0.587,21,1.05,195,9.8,3/21/10
Ohio St.,2010,besr,16,606,218,0.36,74,16,36,2.25,12,0.75,13,7,20,0.81,12,4,304,0.502,7,0.44,141,8.8,3/21/10
New Mexico St.,2010,besr,23,879,316,0.359,166,23,61,2.65,57,2.48,4,4,8,0.17,12,4,564,0.642,8,0.35,265,11.5,3/21/10
North Carolina St.,2010,besr,20,774,277,0.358,116,20,60,3,33,1.65,26,8,34,1.3,12,9,448,0.579,6,0.3,236,11.8,3/21/10
Charlotte,2010,besr,16,560,200,0.357,88,16,37,2.31,12,0.75,22,9,31,1.38,8,13,283,0.505,5,0.31,157,9.8,3/21/10
Mercer,2010,besr,21,741,264,0.356,97,21,68,3.24,29,1.38,37,5,42,1.76,18,12,425,0.574,3,0.14,203,9.7,3/21/10
Virginia,2010,besr,20,716,254,0.355,108,20,59,2.95,15,0.75,26,9,35,1.3,19,12,380,0.531,11,0.55,179,9,3/21/10
Oklahoma St.,2010,besr,14,514,182,0.354,44,14,44,3.14,17,1.21,30,9,39,2.14,11,4,283,0.551,3,0.21,132,9.4,3/21/10
Auburn,2010,besr,19,702,248,0.353,85,19,46,2.42,33,1.74,19,8,27,1,12,18,403,0.574,5,0.26,189,9.9,3/21/10
FGCU,2010,besr,18,674,238,0.353,82,18,43,2.39,13,0.72,14,5,19,0.78,8,14,328,0.487,4,0.22,170,9.4,3/21/10
Delaware,2010,besr,16,574,202,0.352,44,16,52,3.25,28,1.75,8,5,13,0.5,9,1,344,0.599,3,0.19,146,9.1,3/21/10
Dartmouth,2010,besr,7,262,92,0.351,22,7,18,2.57,5,0.71,5,3,8,0.71,5,1,133,0.508,4,0.57,47,6.7,3/21/10
California,2010,besr,18,674,236,0.35,68,18,49,2.72,18,1,22,7,29,1.22,8,12,357,0.53,9,0.5,155,8.6,3/21/10
UCF,2010,besr,21,760,266,0.35,91,21,54,2.57,35,1.67,35,8,43,1.67,14,7,429,0.564,2,0.1,187,8.9,3/21/10
Yale,2010,besr,14,492,172,0.35,58,13,35,2.69,19,1.46,19,5,24,1.46,6,2,272,0.562,5,0.38,126,9.7,3/21/10
Dallas Baptist,2010,besr,21,774,270,0.349,90,21,56,2.67,31,1.48,8,3,11,0.38,12,8,425,0.549,3,0.14,180,8.6,3/21/10
Georgia Tech,2010,besr,18,631,219,0.347,95,18,38,2.11,40,2.22,18,6,24,1,12,10,391,0.62,7,0.39,186,10.3,3/21/10
Pacific,2010,besr,19,673,231,0.343,54,19,51,2.68,13,0.68,20,3,23,1.05,9,10,335,0.498,7,0.37,136,7.2,3/21/10
New Mexico,2010,besr,21,781,268,0.343,79,21,61,2.9,9,0.43,13,8,21,0.62,11,21,378,0.484,11,0.52,164,7.8,3/21/10
FIU,2010,besr,20,696,238,0.342,110,20,50,2.5,18,0.9,33,10,43,1.65,13,11,348,0.5,3,0.15,169,8.5,3/21/10
Campbell,2010,besr,21,749,256,0.342,89,21,55,2.62,12,0.57,80,8,88,3.81,10,23,363,0.485,8,0.38,195,9.3,3/21/10
George Mason,2010,besr,14,517,176,0.34,62,14,31,2.21,14,1,10,5,15,0.71,10,10,257,0.497,4,0.29,130,9.3,3/21/10
